1,2,7,26
1,2,7,27
1,2,7,28
1,2,7,29
1,2,7,116
1,2,7,117
1,2,8,30
1,2,8,31
1,2,8,32
1,2,8,33
1,2,8,118
1,2,8,119
1,2,9,34
1,2,9,35
1,2,9,36
1,2,9,37
1,2,9,120
1,2,9,121
1,2,86,88
1,2,86,89
1,2,86,90
1,2,86,91
1,2,86,122
1,2,86,123
1,2,87,92
1,2,87,93
1,2,87,94
1,2,87,95
1,2,87,124
1,2,87,125
1,4,16,62
1,4,16,63
1,4,16,64
1,4,16,65
1,4,16,126
1,4,16,127
1,5,20,78
1,5,20,79
1,5,20,80
1,5,20,81
1,5,20,128
1,5,20,129
1,5,21,82
1,5,21,83
1,5,21,84
1,5,21,85
1,5,21,130
1,5,21,131
1,5,107,112
1,5,107,113
1,5,107,114
1,5,107,115
1,5,107,132
1,5,107,133
