80.879,86.991,121.381,354.2324,127.3359,95.202,117.34,111.8717,178.40918,121.2487
76.654,84.767,122.7137,351.0216,129.0959,94.342,115.41,113.0078,188.06001,121.5601
75.012,81.965,124.044,354.524,132.5667,94.683,116.4,114.4989,193.39669,121.8295
73.846,78.784,123.6618,351.2426,131.3833,94.689,115.16,115.8778,176.91891,122.1094
78.604,83.777,123.7572,347.5557,131.0046,97.264,113.87,120.0914,171.69115,122.37
78.831,85.167,126.5577,344.0824,135.8391,94.905,110.69,116.5633,172.41523,122.629
82.126,92.221,126.4932,346.7182,134.9663,96.925,113.23,122.1371,172.31125,122.8701
85.481,100.109,124.4672,343.227,130.5789,97.343,112.64,123.1221,177.15823,123.1066
89.517,109.418,124.7492,349.9651,132.1845,99.214,115.73,128.027,188.65427,123.3299
84.902,103.611,126.6619,348.6417,135.1399,96.974,111.43,123.4765,177.49979,123.5433
90.09,113.124,124.989,347.5034,134.4699,96.766,110.97,126.2441,187.13153,123.7628
88.69,110.729,124.6456,342.6924,134.6248,94.511,107.56,123.7698,181.41072,123.9769
89.566,113.322,126.2058,338.6526,136.8517,93.058,103.8,120.9567,184.85275,124.1986
92.399,118.238,127.0073,344.762,137.9899,93.559,105.31,123.688,189.74483,124.4199
93.931,123.473,128.7238,345.2361,140.5439,95.435,106.31,123.4516,201.74826,124.625
94.34,126.907,129.9479,354.0719,142.8717,98.736,108.71,126.8808,211.12403,124.8436
94.732,119.609,128.6051,347.4268,138.7695,97.895,109.41,127.987,212.88554,125.0506
93.841,115.184,128.2393,343.7208,140.0373,96.262,106.92,123.7673,212.25932,125.2656
96.122,115.865,128.6683,345.7399,140.5317,97.369,107.4,125.9512,204.24439,125.4723
93.965,115.307,129.7958,347.6045,141.4408,100.08,109.86,129.9234,210.70977,125.692
93.496,118.306,131.5879,352.5063,144.3793,99.622,110.23,131.1941,203.79647,125.9163
93.217,122.684,132.1517,349.7893,144.9658,100.465,108.65,130.6083,213.49212,126.1353
93.242,122.357,133.3796,351.6165,146.3487,101.225,106.72,129.4145,211.47268,126.3633
93.931,128.458,134.903,348.6781,147.1594,102.845,102.55,126.013,200.77271,126.5834
95.35,131.867,135.8531,346.7842,149.0007,106.058,101.31,125.5459,185.88765,126.8133
97.186,137.37,137.5871,356.5254,149.5373,109.855,106.06,130.6454,196.33605,127.0437
98.467,147.011,136.7827,350.647,148.3096,112.438,104.04,130.3908,206.90734,127.2511
98.613,140.324,137.5712,353.3327,148.9551,110.55,105.78,129.8041,219.00987,127.4798
97.115,137.234,139.6077,361.004,151.3818,111.028,107.58,129.9365,207.25435,127.7017
103.339,148.526,141.1786,369.8078,152.6259,116.112,113.83,138.4422,215.07942,127.9314
106.308,156.67,142.7441,373.8897,154.0471,121.259,117.23,144.0466,223.11229,128.1534
109.659,167.151,142.0682,369.0178,152.2286,121.639,116.23,145.564,232.46123,128.3811
109.12,165.781,143.5109,371.0152,154.9967,121.335,115.67,144.0039,245.85179,128.6091
114.201,185.781,143.4461,371.2225,155.1101,125.269,117.73,147.7889,263.77058,128.8309
112.166,174.276,141.8402,366.8714,153.5011,123.44,117.23,147.1634,248.10279,129.0631
117.751,191.878,141.7147,368.1738,153.7384,127.984,119.87,150.7084,252.94308,129.2925
120.299,202.43,143.2734,372.1416,155.8844,129.118,120.42,151.9479,259.99323,129.5426
122.074,218.755,142.1335,366.1618,155.8026,131.207,116.96,150.267,257.40573,129.8046
124.147,223.076,142.3443,371.011,155.494,135.809,119.75,155.2462,246.35075,130.0507
125,221.037,140.3204,361.2599,152.3647,131.338,116.34,152.6238,247.34903,130.3309
123.734,227.591,139.2063,355.3509,150.9747,129.698,111.45,147.5097,253.87126,130.6155
